Date,Deliverable
30th November 2021,List of all research outputs from TAFIRI since its establishment to 2020
30th November 2021,"List of Policies, laws and regulations and decrees that have been declared from TAFIRI research activities"
30th November 2021,Innovations developed by TAFIRI scientists and how these were transferred to users
30th November 2021,"List of all Policy Briefs or advices that have been produced by TAFIRI. Their focus, to whom they were targeted and their outcomes (e.g. were they transformed into policies, law, etc)"
30th November 2021,A report on whether TAFIRI staff promotion guideline or criteria aligns to the Act and Regulation that established the institution
15th January 2022,"A report containing review of the collated technical scientific reports, books and book chapters, scientific papers outlining policy issues in them, how the policy issue was communicated to policy makers, any use, if at all, of the information that was generated from the technical reports, books and book chapters and scientific papers (e.g. submitted to the Ministry, communicated to stakeholders, published in journal, book and or book chapter, promotion etc), "
