Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"G Bulengela, P Onyango, J Brehm, PA Staehr…","“Bring fishermen at the center”: the value of local knowledge for understanding fisheries resources and climate-related changes in Lake Tanganyika",2020,"Environment …","Springer","https://link.springer.com/article/10.1007/s10668-019-00443-z","https://scholar.google.com/scholar?cites=3660509274072162297&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:37:57","","10.1007/s10668-019-00443-z","","",,,,,5,5.00,1,5,1,"In this paper, we discuss the value of local knowledge of fishermen from Kigoma, along the North Eastern shores of Lake Tanganyika, regarding fish and climate-related issues of the …","","https://scholar.google.com/scholar?q=related:-R8YYsq9zDIJ:scholar.google.com/&scioq=author:%22bulengela+g%22&hl=en&as_sdt=2007"
1,"GS Bulengela, PO Onyango, JM Brehm","Exploring the agentic power in fishery: reflections from fishing communities of Lake Tanganyika, Kigoma, Tanzania",2020,"Maritime Studies","Springer","https://link.springer.com/article/10.1007/s40152-019-00152-3","https://scholar.google.com/scholar?cites=567573138413974921&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:37:57","","10.1007/s40152-019-00152-3","","",,,,,1,1.00,0,3,1,"One of the central concerns of fisheries management is to understand the dynamics in the human-environment interactions especially in the context of the observed declining fish …","","https://scholar.google.com/scholar?q=related:ifU3I8Ns4AcJ:scholar.google.com/&scioq=author:%22bulengela+g%22&hl=en&as_sdt=2007"
0,"G Bulengela, J Brehm, P Onyango","CO-MANAGEMENT IN CRISIS? REFLECTIONS FROM BEACH MANAGEMENT UNITS (BMUs) OF KIGOMA FISHING COMMUNITIES, TANZANIA",2021,"International Journal of …","researchgate.net","https://www.researchgate.net/profile/Gideon-Bulengela/publication/352039122_CO-MANAGEMENT_IN_CRISIS_REFLECTIONS_FROM_BEACH_MANAGEMENT_UNITS_BMUs_OF_KIGOMA_FISHING_COMMUNITIES_TANZANIA/links/60b68f62299bf106f6f174de/CO-MANAGEMENT-IN-CRISIS-REFLECTIONS-FROM-BEACH-MANAGEMENT-UNITS-BMUs-OF-KIGOMA-FISHING-COMMUNITIES-TANZANIA.pdf","",3,"2021-11-12 06:37:57","PDF","","","",,,,,0,0.00,0,3,1,"Effective management of fisheries resources is a challenging endeavor. This challenge emanates from the complexity of human behavior and their interaction with nature. As a …","https://www.researchgate.net/profile/Gideon-Bulengela/publication/352039122_CO-MANAGEMENT_IN_CRISIS_REFLECTIONS_FROM_BEACH_MANAGEMENT_UNITS_BMUs_OF_KIGOMA_FISHING_COMMUNITIES_TANZANIA/links/60b68f62299bf106f6f174de/CO-MANAGEMENT-IN-CRISIS-REFLECTIONS-FROM-BEACH-MANAGEMENT-UNITS-BMUs-OF-KIGOMA-FISHING-COMMUNITIES-TANZANIA.pdf","https://scholar.google.com/scholar?q=related:hOOIew5YMRMJ:scholar.google.com/&scioq=author:%22bulengela+g%22&hl=en&as_sdt=2007"
0,"G Bulengela","Reclaiming Ancestral Heritage: The Reduced Emissions from Deforestation and Forest Degradation (REDD+) and People's Access to Forest Resources",2020,"Journal of Humanities and Social Sciences Studies …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3530352","",4,"2021-11-12 06:37:57","","","","",,,,,0,0.00,0,1,1,"Climate change poses challenge to the global society. Different measures have been set off in an attempt to address the problem. Among the recent adopted options is the “Reduced …","https://www.al-kindipublisher.com/index.php/jhsss/article/download/231/213","https://scholar.google.com/scholar?q=related:DbD7xGIi7L0J:scholar.google.com/&scioq=author:%22bulengela+g%22&hl=en&as_sdt=2007"
0,"J Brehm, C O'Reilly, P Stæhr…","A Transdisciplinary Examination of Food Insecurity and Sustainability on Lake Tanganyika",2019,"AGU Fall Meeting …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2019AGUFMGC43H1394B/abstract","",5,"2021-11-12 06:37:57","","","","",,,,,0,0.00,0,4,2,"Sustainable environmental management of natural resources is critical for human society. The impacts of climate change, coupled with growing human populations, provide immense …","",""
1,"G Bulengela","The socio-economic implications of adopting the reduced emissions from deforestation and forest degradation (redd) policy in Tanzania: a case of …",2014,"","University of Dar es Salaam","","https://scholar.google.com/scholar?cites=9080910940213234114&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:37:57","CITATION","","","",,,,,1,0.14,1,1,7,"","","https://scholar.google.com/scholar?q=related:wkleLGPgBX4J:scholar.google.com/&scioq=author:%22bulengela+g%22&hl=en&as_sdt=2007"
