Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"NP Gabagambi, AGV Salvanes, F Midtøy…","The tapeworm Ligula intestinalis alters the behavior of the fish intermediate host Engraulicypris sardella, but only after it has become infective to the final host",2019,"Behavioural processes","Elsevier","https://www.sciencedirect.com/science/article/pii/S0376635718302766","https://scholar.google.com/scholar?cites=10375960329878094141&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:13:52","","","","",,,,,8,4.00,2,4,2,"Ligula intestinalis is a tapeworm using copepods and cyprinid fish as intermediate hosts and fish-eating birds as final hosts. Since some parasites can increase their own fitness by …","","https://scholar.google.com/scholar?q=related:PcHtIfLQ_o8J:scholar.google.com/&scioq=author:%22nestory+gabagambi%22&hl=en&as_sdt=2007"
1,"G Vernaz, AG Hudson, ME Santos, B Fischer…","Epigenetic divergence during early stages of speciation in an African crater lake cichlid fish",2021,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2021.07.30.435319.abstract","https://scholar.google.com/scholar?cites=5255000569489360404&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:13:52","","10.1101/2021.07.30.435319.abstract","","",,,,,1,1.00,0,5,1,"Epigenetic variation can alter transcription and promote phenotypic divergence between populations facing different environmental challenges. Here we assess the epigenetic basis …","https://www.biorxiv.org/content/biorxiv/early/2021/07/30/2021.07.30.435319.full.pdf",""
1,"NP Gabagambi, A Skorping, M Chacha…","Life history shifts in an exploited African fish following invasion by a castrating parasite",2020,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.6917","https://scholar.google.com/scholar?cites=1845089598320476242&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:13:52","","10.1002/ece3.6917","","",,,,,1,1.00,0,4,1,"Evolutionary theory predicts that infection by a parasite that reduces future host survival or fecundity should select for increased investment in current reproduction. In this study, we …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.6917","https://scholar.google.com/scholar?q=related:UgCpxjYTmxkJ:scholar.google.com/&scioq=author:%22nestory+gabagambi%22&hl=en&as_sdt=2007"
0,"A Mennerat, A Skorping, N Gabagambi, C Mwita…","Life history shifts in an exploited African fish following invasion by a castrating parasite",2020,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/20.500.11810/5760","",4,"2021-11-12 06:13:52","","","","",,,,,0,0.00,0,5,1,"Evolutionary theory predicts that infection by a parasite that reduces future host survival or fecundity should select for increased investment in current reproduction. In this study, we …","http://196.44.162.10:8080/xmlui/bitstream/handle/20.500.11810/5760/Ecology%20and%20Evolution_0.2.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:xxB9GwaIUhEJ:scholar.google.com/&scioq=author:%22nestory+gabagambi%22&hl=en&as_sdt=2007"
0,"NP Gabagambi","Biological and ecological effects of Ligula intestinalis (Linnaeus, 1758) in a fish host Engraulicypris sardella (Gütter, 1868) from Tanzanian side of Lake Nyasa",2020,"","bora.uib.no","https://bora.uib.no/bora-xmlui/handle/1956/24139","",5,"2021-11-12 06:13:52","","","","",,,,,0,0.00,0,1,1,"The current thesis investigates the epidemiological, behavioral and evolutionary effects of the tapeworm Ligula intestinalis in the 'Nyasa sardine'(Engraulicypris sardella), an …","https://bora.uib.no/bora-xmlui/bitstream/handle/1956/24139/drthesis_2020_Gabagambi.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:kRIY5SU6LVEJ:scholar.google.com/&scioq=author:%22nestory+gabagambi%22&hl=en&as_sdt=2007"
0,"N Gabagambi","Increased reproductive investment in an exploited African cyprinid fish following invasion by a castrating parasite in Lake Nyasa, Tanzania",2020,"Authorea Preprints","authorea.com","https://www.authorea.com/doi/full/10.22541/au.158739614.41832954","",6,"2021-11-12 06:13:52","","10.22541/au.158739614.41832954","","",,,,,0,0.00,0,1,1,"Evolutionary theory predicts that a host infected with a parasite that reduces its future survival and/or fecundity should be selected towards an increased investment in current …","https://www.authorea.com/doi/pdf/10.22541/au.158739614.41832954",""
0,"NP Gabagambi, A Skorping","Invasion of the tapeworm Ligula intestinalis in the Usipa fishery in Lake Malawi/Niassa/Nyasa: implications for food security and nutrition",2018,"Nature & Faune","fao.org","http://www.fao.org/3/ca4151en/CA4151EN.pdf#page=59","",7,"2021-11-12 06:13:52","PDF","","","",,,,,0,0.00,0,2,3,"This article reports the invasion of a deleterious parasite infecting an economically important fish species, the Usipa, in Lake Malawi/Niassa/Nyasa, hereafter Lake Nyasa. Most of the …","http://www.fao.org/3/ca4151en/CA4151EN.pdf#page=59","https://scholar.google.com/scholar?q=related:GoSEopBaaX8J:scholar.google.com/&scioq=author:%22nestory+gabagambi%22&hl=en&as_sdt=2007"
