Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"FL Mhagama, MS Topak","The Relationship Between Initial Public Offering and Firm Performance: A Research on Borsa Istanbul (BIST)",2019,"İstanbul Gelişim Üniversitesi Sosyal …","dergipark.org.tr","https://dergipark.org.tr/en/pub/igusbd/article/616838","https://scholar.google.com/scholar?cites=6336242061850705868&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:20:34","","","","",,,,,1,0.50,1,2,2,"The aim of this study is to examine the relationship between initial public offering (IPO) and firm performances of the firms operating in Turkey. The data set involves 38 firms that …","https://dergipark.org.tr/en/download/article-file/842477","https://scholar.google.com/scholar?q=related:zP9_m5Xa7lcJ:scholar.google.com/&scioq=author:%22fenant+mhagama%22&hl=en&as_sdt=2007"
0,"FL Mhagama, MJ Musiba, MA Salehe…","The socio-economic implications of illegal fishing practices in Lake Victoria: a case study of three Villages in Tanzania",2018,"African Journal of …","academia.edu","https://www.academia.edu/download/57232568/11._Mhagama_-_illegal_fishing.pdf","",2,"2021-11-12 06:20:34","PDF","","","",,,,,0,0.00,0,4,3,"Illegal fishing is a threat to the sustainability of fisheries in Lake Victoria and this paper examines the influence of socio-economic factors on illegal fishing practices. The study was …","https://www.academia.edu/download/57232568/11._Mhagama_-_illegal_fishing.pdf","https://scholar.google.com/scholar?q=related:2ZG1aKqIiFMJ:scholar.google.com/&scioq=author:%22fenant+mhagama%22&hl=en&as_sdt=2007"
2,"F Mhagama","Ġlk Halka Arzın ġirketlerin Finansal Performansı Üzerine Etkisi",2014,"… Sosyal Bilimler Enstitüsü, ĠĢletme Anabilim Dalı …","","","https://scholar.google.com/scholar?cites=10602172863164178251&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:20:34","CITATION","","","",,,,,2,0.29,2,1,7,"","","https://scholar.google.com/scholar?q=related:S98v3At8IpMJ:scholar.google.com/&scioq=author:%22fenant+mhagama%22&hl=en&as_sdt=2007"
