Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"IB Kapinga, SM Limbu, NA Madalla…","Aspilia mossambicensis and Azadirachta indica medicinal leaf powders modulate physiological parameters of Nile tilapia (Oreochromis niloticus)",2018,"… journal of veterinary …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1016/j.ijvsm.2018.03.003","https://scholar.google.com/scholar?cites=17998887040885082735&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:01:37","","10.1016/j.ijvsm.2018.03.003","","",,,,,14,4.67,4,4,3,"Growing mixed-sex Nile tilapia, Oreochromis niloticus in earthen ponds to table size is a major challenge due to its early maturity and prolific breeding. This study determined the …","https://www.tandfonline.com/doi/pdf/10.1016/j.ijvsm.2018.03.003","https://scholar.google.com/scholar?q=related:b0pWyGbkyPkJ:scholar.google.com/&scioq=author:%22imani+kapinga%22&hl=en&as_sdt=2007"
8,"IB Kapinga, SM Limbu, NA Madalla…","Dietary Aspilia mossambicensis and Azadirachta indica supplementation alter gonadal characteristics and histology of juvenile Nile tilapia (Oreochromis niloticus)",2019,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.13931","https://scholar.google.com/scholar?cites=7386107737657851210&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:01:37","","10.1111/are.13931","","",,,,,8,4.00,2,4,2,"The use of medicinal plants to control reproduction in aquaculture have recently received considerable attention because they are biodegradable, safe, effective and locally available …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/are.13931","https://scholar.google.com/scholar?q=related:Sj3cp9q5gGYJ:scholar.google.com/&scioq=author:%22imani+kapinga%22&hl=en&as_sdt=2007"
0,"HA Lamtane, IB Kapinga, NA Madalla, RA Tamatamah…","Dietary Aspilia mossambicensis and Azadirachta indica supplementation alters reproductive performance and induces gonadal histopathological effects in Nile tilapia …",2018,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/20.500.11810/5230","",3,"2021-11-12 06:01:37","","","","",,,,,0,0.00,0,5,3,"The use of medicinal plants to control reproduction in aquaculture have recently received considerable attention because they are biodegradable, safe, effective and locally available …","http://196.44.162.10:8080/xmlui/bitstream/handle/20.500.11810/5230/Dietary%20Aspilia%20mossambicensis%20and%20Azadirachta%20indica%20supplementation%20alter%20gonadal%20characteristics%20and%20histology%20of%20juvenile%20Nile%20tilapia%20%28Oreochromis%20niloticus%29%20.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:Fw2z22fEEO0J:scholar.google.com/&scioq=author:%22imani+kapinga%22&hl=en&as_sdt=2007"
0,"IB Kapinga, SM Limbu, NA Madalla, WH Kimaro…","Dietary Aspilia mossambicensis and Azadirachta indica supplementation alters reproductive performance and induces gonadal histopathological effects in Nile tilapia …",,"repository.costech.or.tz","","http://repository.costech.or.tz/handle/20.500.11810/5230","",4,"2021-11-12 06:01:37","","","","",,,,,0,0.00,0,5,,"The use of medicinal plants to control reproduction in aquaculture have recently received considerable attention because they are biodegradable, safe, effective and locally available …","",""
0,"IB Kapinga, SM Limbu, NA Madalla, WH Kimaro…","International Journal of Veterinary Science and Medicine",,"researchgate.net","","https://www.researchgate.net/profile/Samwel-Limbu/publication/323929723_Aspilia_mossambicensis_and_Azadirachta_indica_medicinal_leaf_powders_modulate_physiological_parameters_of_Nile_tilapia_Oreochromis_niloticus/links/5b236790a6fdcc6974650471/Aspilia-mossambicensis-and-Azadirachta-indica-medicinal-leaf-powders-modulate-physiological-parameters-of-Nile-tilapia-Oreochromis-niloticus.pdf","",5,"2021-11-12 06:01:37","PDF","","","",,,,,0,0.00,0,5,,"Growing mixed-sex Nile tilapia, Oreochromis niloticus in earthen ponds to table size is a major challenge due to its early maturity and prolific breeding. This study determined the …","https://www.researchgate.net/profile/Samwel-Limbu/publication/323929723_Aspilia_mossambicensis_and_Azadirachta_indica_medicinal_leaf_powders_modulate_physiological_parameters_of_Nile_tilapia_Oreochromis_niloticus/links/5b236790a6fdcc6974650471/Aspilia-mossambicensis-and-Azadirachta-indica-medicinal-leaf-powders-modulate-physiological-parameters-of-Nile-tilapia-Oreochromis-niloticus.pdf","https://scholar.google.com/scholar?q=related:PC5JqPwh5dQJ:scholar.google.com/&scioq=author:%22imani+kapinga%22&hl=en&as_sdt=2007"
1,"K Imani","Characterization of Artemia from solar salt works in Kenya",2012,"","Msc thesis Ghent University …","","https://scholar.google.com/scholar?cites=177887140211966220&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:01:37","CITATION","","","",,,,,1,0.11,1,1,9,"","","https://scholar.google.com/scholar?q=related:DMFxWmn7dwIJ:scholar.google.com/&scioq=author:%22imani+kapinga%22&hl=en&as_sdt=2007"
